genre,Indie,Singleplayer,Action,Casual,Adventure,2D,Simulation,Strategy,3D,Puzzle,Atmospheric,RPG,Colorful,Pixel Graphics,Story Rich,Exploration,Cute,First-Person,Arcade,Fantasy,Early Access,Multiplayer,Funny,Horror
Indie,0.6529142730538543,0.4800202566902467,0.389308265679153,0.38558926395416926,0.3645571222839418,0.27833958442133916,0.17218186709712133,0.1729573185206286,0.17241925018595008,0.17465065122094037,0.1675291585560778,0.15765402206080173,0.1426197597683141,0.15176692145784867,0.12715820791593474,0.13641614838025606,0.1282818212030575,0.1219041288831917,0.12204655873648895,0.10751871370016933,0.11378562724524838,0.08677143173653643,0.10329329471901755,0.10588868315687858
Casual,0.48869479831520196,0.45378433551254554,0.2604718468177472,0.7267371249903098,0.28618310550660225,0.2714023618181348,0.1857929145455955,0.17266596036073284,0.14990051422517378,0.20618103826972273,0.13501640869273107,0.09912400837230936,0.1768004341197447,0.10498979301790744,0.09529962014522339,0.09548050337218016,0.17000439287836894,0.07974366262694127,0.13400863071397193,0.08927879273366236,0.07904597018010802,0.07529910333600351,0.11393059252177058,0.05056978216491382
Action,0.5122686064817328,0.46669561913034036,0.808886596818848,0.2774279355083872,0.3785896531132946,0.24577927365506758,0.11850605287443679,0.11592747407849736,0.2025405786873677,0.08520167200477716,0.15105043157266163,0.15181043374409642,0.13460181314803757,0.16733619238912112,0.09120026057217306,0.12504750013571467,0.09741599261712176,0.1517561478747082,0.18698767710764888,0.11055317300906574,0.1365832473807068,0.1430975517072906,0.1083817382335378,0.10911459747027849
Adventure,0.48781450975967505,0.49173530407311294,0.3920794313437888,0.3184023468351574,0.7667550490804468,0.2576441385535372,0.1346327428635902,0.11821617962315244,0.17976418819812703,0.1892417917183798,0.2263906126593704,0.21623603745909964,0.13700214374365338,0.14763624055060362,0.21744894505246531,0.22323141148595282,0.13147354169017264,0.15409567866410923,0.07048967618187972,0.14354620331716123,0.0947196208958592,0.06560983865508292,0.10323818120275302,0.15262890669073678
Simulation,0.4334948842218632,0.4726978998384491,0.23758750673128703,0.39283791060850837,0.2607969843834141,0.17797522886375874,0.7444803446418955,0.2638126009693053,0.22218632202477115,0.09903069466882068,0.15121163166397414,0.13871836295099624,0.12170166935918147,0.07754442649434572,0.10285406569736133,0.14361873990306948,0.11841680129240711,0.16009693053311794,0.0745288099084545,0.05718901453957997,0.14728056004308024,0.10608508346795907,0.10102315562735595,0.07092084006462035
Strategy,0.4634342969019924,0.4851433836231717,0.2415639755844754,0.37469768513186685,0.23597834849706323,0.2833698030634573,0.27715075434757575,0.7897040193481516,0.16307727743867326,0.1626741909478291,0.10998502821605435,0.20551652654612462,0.1288149257169181,0.12449614188644478,0.08199930899458713,0.08816077392606242,0.10422664977542324,0.06201773580559714,0.05787170332834274,0.14079235287343084,0.13808591500633421,0.12789358516641713,0.07917770355867787,0.04526085454336059
RPG,0.4422959246114307,0.46297882756088604,0.3292742626361522,0.2356504711785583,0.4634683637253702,0.28362501529800516,0.15414269979194714,0.21282584750948477,0.1317464202667972,0.06963651939787052,0.11895728796964876,0.7527230449149431,0.09172683882021784,0.182902949455391,0.20897075021417208,0.1669930241096561,0.11143066944070493,0.0728185044670175,0.034940643740056294,0.25357973320279037,0.13774323828172808,0.07428711296046996,0.0767347937828907,0.0653530779586342
Early Access,0.4515527268736969,0.38417645122352684,0.444200592560079,0.27323603643147154,0.2845385712718095,0.16591682212224296,0.23065949742126632,0.20520136069351477,0.2440469658729288,0.0638648085153078,0.12147481619664216,0.19872709316361242,0.106441347525513,0.09876001316800176,0.06518160869088116,0.14660375288050037,0.07714254361900581,0.16295402172720289,0.0865796115439482,0.11620761549434873,0.8167453088993745,0.1658070887742785,0.07363107648414353,0.0778009437067925
Free To Play,0.2578098567723018,0.17379045900530055,0.1893537836923424,0.18563211909326718,0.15010713882936733,0.0952971692793504,0.08041051088304951,0.09822938987256118,0.06349385361452577,0.04443441975865569,0.05255441524754709,0.09033494981391677,0.04319386489229728,0.050186083229953764,0.043081087177173794,0.03947220029322206,0.040599977444456974,0.05413330325927597,0.038457200857110636,0.048381639787977895,0.06259163189353784,0.12845381752565693,0.044208864328408704,0.04680275177624901
Sports,0.44224422442244227,0.44021325209444023,0.40847930946940847,0.4282812896674283,0.1634932724041635,0.14394516374714394,0.4435135821274435,0.16984006092916984,0.24803249555724804,0.05382076669205382,0.0787001777100787,0.06524498603706524,0.15156130997715156,0.06372175679106372,0.020817466362020816,0.06321401370906321,0.09291698400609291,0.11754252348311754,0.24701700939324703,0.027418126428027417,0.13962934755013964,0.23863924854023863,0.11474993653211475,0.016755521706016754
Racing,0.4577400787640109,0.47561345046955467,0.44834898515601335,0.3789760678582248,0.19539533474704635,0.10451378370190852,0.3323235383217207,0.08058164192668889,0.3147531051196607,0.04119963647379582,0.10875492275068162,0.055134807634050285,0.16843380793698878,0.05271129960617994,0.022114510754316873,0.08421690396849439,0.08724628900333233,0.1302635564980309,0.31808542865798245,0.02908209633444411,0.12541654044229023,0.21629809148742804,0.12117540139351711,0.014843986670705847
Massively Multiplayer,0.3339613754121526,0.19359397079604335,0.4813942534149788,0.2251530852567122,0.2896844088553933,0.08525671219971738,0.20913801224682055,0.2190296749882242,0.18888365520489872,0.03155911446066886,0.09420631182289213,0.2840320301460198,0.0682995760715968,0.038624587847385775,0.03626943005181347,0.10786622703721149,0.047103155911446065,0.16109279321714554,0.06170513424399435,0.10315591144606688,0.24258125294394725,0.4107395195478097,0.07583608101742817,0.05699481865284974
