,price,platform_count,game_age_years,genres_count,tags_count,review_count_calc_log1p,positive_rate_calc,recommendations_log1p,peak_ccu_log1p,average_playtime_forever_log1p,median_playtime_forever_log1p,attention_score_descriptive
price,1.0,0.061214943015594235,0.014769138360311379,-0.07532014004000794,0.32078830331229347,0.297697912022258,0.04784161324812816,0.3312712114882288,0.3107642509837312,0.1373197281429781,0.1379317135621373,0.34004570277546725
platform_count,0.061214943015594235,1.0,0.1417773133969491,0.01353431301370248,0.050624660786823296,0.13763495240598575,0.07424826807011425,0.12215197944319546,0.10103684423114374,0.09356492611148302,0.09344610762035427,0.14594364337406085
game_age_years,0.014769138360311379,0.1417773133969491,1.0,-0.05056369973245388,-0.03901249322539965,0.4455042161588351,-0.2538055616839735,0.20775304290961838,0.06144303188740759,0.22540591546308236,0.2249099292448266,0.3970069797868548
genres_count,-0.07532014004000794,0.01353431301370248,-0.05056369973245388,1.0,0.13195147394958895,0.002437465479859783,-0.07356896506122036,-0.028166237951995843,-0.023717058198108744,-0.004116731064237708,-0.004336888458473212,-0.004160684469269369
tags_count,0.32078830331229347,0.050624660786823296,-0.03901249322539965,0.13195147394958895,1.0,0.5597228847287298,0.17134381218522018,0.278276675218758,0.2748571772661438,0.16094518958288107,0.16012734369425263,0.5225785386666966
review_count_calc_log1p,0.297697912022258,0.13763495240598575,0.4455042161588351,0.002437465479859783,0.5597228847287298,1.0,-0.06916762639328211,0.6028096485043528,0.5197800615164881,0.41192006283860794,0.4114206960641505,0.9526673448860415
positive_rate_calc,0.04784161324812816,0.07424826807011425,-0.2538055616839735,-0.07356896506122036,0.17134381218522018,-0.06916762639328211,1.0,0.046324316891902285,0.07582476759788957,-0.0136781241411158,-0.014040720818450229,-0.05163294877278688
recommendations_log1p,0.3312712114882288,0.12215197944319546,0.20775304290961838,-0.028166237951995843,0.278276675218758,0.6028096485043528,0.046324316891902285,1.0,0.635976686350558,0.4928408693340184,0.4925909810444958,0.6723323327096876
peak_ccu_log1p,0.3107642509837312,0.10103684423114374,0.06144303188740759,-0.023717058198108744,0.2748571772661438,0.5197800615164881,0.07582476759788957,0.635976686350558,1.0,0.40266197811073196,0.4012825506024579,0.6436759082454568
average_playtime_forever_log1p,0.1373197281429781,0.09356492611148302,0.22540591546308236,-0.004116731064237708,0.16094518958288107,0.41192006283860794,-0.0136781241411158,0.4928408693340184,0.40266197811073196,1.0,0.9997823902881868,0.41667788543377027
median_playtime_forever_log1p,0.1379317135621373,0.09344610762035427,0.2249099292448266,-0.004336888458473212,0.16012734369425263,0.4114206960641505,-0.014040720818450229,0.4925909810444958,0.4012825506024579,0.9997823902881868,1.0,0.41626806708346104
attention_score_descriptive,0.34004570277546725,0.14594364337406085,0.3970069797868548,-0.004160684469269369,0.5225785386666966,0.9526673448860415,-0.05163294877278688,0.6723323327096876,0.6436759082454568,0.41667788543377027,0.41626806708346104,1.0
