genre,game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score
360 Video,1,1.0,1.0,,0.0,0.0,-0.5882409592979745
Accounting,24,4.0,52.75,71.74674674674674,0.0,0.0,-0.3205275500966843
Action,36842,15.0,2449.4450898431137,79.54545454545455,0.0,0.0,0.025561316947757283
Adventure,35452,17.0,1556.7861897777277,81.39962137108432,0.0,0.0,0.044436982946807334
Animation & Modeling,394,18.5,2680.4543147208124,77.28040540540542,0.0,0.0,0.09689541847292188
Audio Production,195,18.0,576.4615384615385,75.45454545454545,0.0,0.0,0.05190539953295841
Casual,38699,9.0,456.9271040595364,82.44426189709975,0.0,0.0,-0.15283771484496747
Design & Illustration,494,19.0,2203.506072874494,79.72027972027972,0.0,0.0,0.09960926225814759
Documentary,1,1.0,1.0,,0.0,0.0,-0.5882409592979745
Early Access,9113,9.0,852.3662899155054,77.41024239110625,0.0,0.0,-0.07263859799482161
Education,390,10.0,201.30769230769232,76.13871635610766,0.0,0.0,-0.16561825049534218
Episodic,1,1.0,1.0,,0.0,0.0,-0.5882409592979745
Free To Play,8867,0.0,3186.656253524304,77.33333333333333,0.0,0.0,-0.2710031758152096
Game Development,256,9.0,375.83984375,83.87096774193549,0.0,0.0,-0.00781734441454307
Gore,265,26.0,158.97735849056605,59.154929577464785,0.0,0.0,-0.13093072109455633
Indie,63189,14.0,846.942711547896,81.535323025797,0.0,0.0,-0.04186898728172197
Massively Multiplayer,2123,23.0,6596.838907206783,66.69305093072765,0.0,0.0,0.2235981531021417
Movie,2,1613.0,1613.0,53.3953488372093,76.0,3.5,0.5298675241922849
Nudity,96,35.5,103.54166666666667,67.79655990510082,0.0,0.0,-0.013240490215848532
Photo Editing,149,10.0,6215.496644295302,81.07843137254902,0.0,0.0,0.0029541883127040367
RPG,16342,18.0,2167.4894749724635,80.0,0.0,0.0,0.1673345622148993
Racing,3301,13.0,1002.0542259921236,77.50432525951557,0.0,0.0,-0.03977427268350823
Sexual Content,90,35.5,108.4888888888889,75.17787757985568,0.0,0.0,-0.02579515803469865
Short,1,1.0,1.0,,0.0,0.0,-0.5882409592979745
Simulation,18570,18.0,1468.4586429725364,78.26086956521739,0.0,0.0,0.13471579354675534
Software Training,192,14.0,150.44270833333334,72.8146013448607,0.0,0.0,-0.05634886716838582
Sports,3939,15.0,1084.3736989083525,77.54123991661379,0.0,0.0,-0.012000130013935054
Strategy,17366,17.0,1302.7450765864332,78.72340425531915,0.0,0.0,0.10497244441346408
Tutorial,1,1.0,1.0,,0.0,0.0,-0.5882409592979745
Utilities,856,14.0,1355.2091121495328,75.64766839378238,0.0,0.0,0.02571391876974014
Video Production,285,13.0,439.0877192982456,75.0,0.0,0.0,0.03438012906233262
Violent,429,21.0,145.62237762237763,61.72354705126374,0.0,0.0,-0.1553193398170008
Web Publishing,99,30.0,546.7676767676768,79.55288985823336,0.0,0.0,0.44949293712000515
