genre,game_count,median_owner_mid,median_price,median_review_count,median_positive_rate_30plus,median_revenue_proxy
Action,31199,10000.0,4.99,16.0,80.3030303030303,69900.0
Massively Multiplayer,965,10000.0,6.99,23.0,69.76744186046511,99900.0
Utilities,595,10000.0,7.99,15.0,75.32808398950131,99900.0
Strategy,14709,10000.0,5.99,19.0,79.48480970662116,89900.0
Sports,3387,10000.0,6.99,16.0,78.40755735492577,79900.0
Simulation,16037,10000.0,6.99,21.0,78.66666666666666,79900.0
Racing,2862,10000.0,4.99,14.0,78.02828940269093,59900.0
RPG,13785,10000.0,6.99,21.0,80.72821969696969,99900.0
Indie,54122,10000.0,4.99,16.0,81.81818181818183,59900.0
Adventure,30631,10000.0,5.99,19.0,81.75362976406532,79900.0
Gore,225,10000.0,4.99,24.0,58.52272727272727,59900.0
Education,249,10000.0,9.99,9.0,76.89437428243399,109900.0
Early Access,7584,10000.0,7.99,10.0,79.09338112601199,99900.0
Design & Illustration,364,10000.0,11.99,21.0,76.49880095923261,149900.0
Casual,33006,10000.0,4.99,10.0,82.82828282828282,49900.0
Animation & Modeling,267,10000.0,11.99,21.0,76.48612945838838,149900.0
Violent,367,10000.0,4.99,18.0,60.0,49900.0
